index,Ejecución,Tiempo de ejecución (s),Iteraciones,Mejor solución,Mejor fitness,Algoritmo
11,12,51.04057240486145,249,"[array([10, 10]), array([10.36694338, 10.36694338]), array([10, 12]), array([13, 12]), array([14, 12]), array([23., 12.]), array([24, 12]), array([33.85646527, 15.85646527]), array([48.38107408, 12.38107408]), array([55, 12]), array([100., 100.]), array([98.53955328, 98.53955328]), array([98.53955328, 98.        ]), array([98, 97]), array([95.27581453, 97.27581453]), array([95, 94]), array([91.90118364, 93.90118364]), array([91., 93.]), array([90, 93]), array([88.87292614, 91.87292614]), array([90.73292387, 89.23292387]), array([89.19473707, 89.69473707]), array([89.56016447, 89.56016447]), array([89.85020823, 89.85020823]), array([89.98063814, 89.98063814]), array([89.98063814, 90.        ]), array([90, 90])]",169.7732516318083,GSIS
12,13,41.46148228645325,249,"[array([10, 10]), array([11.9055002, 11.9055002]), array([10.76215179, 15.26215179]), array([ 13.77300161, 100.        ]), array([ 19.82832003, 100.        ]), array([ 37, 100]), array([47.1339219, 99.6339219]), array([91, 99]), array([91, 98]), array([95.73360508, 87.73360508]), array([95, 87]), array([89, 87]), array([89, 91]), array([90.02731384, 90.52731384]), array([90, 90]), array([90.58256164, 90.58256164]), array([90.        , 90.58256164]), array([90., 90.])]",193.27179209702538,GSIS
13,14,34.632110834121704,249,"[array([10, 10]), array([11.51984009, 10.01984009]), array([11, 11]), array([12, 11]), array([12, 76]), array([ 25.5, 100. ]), array([100.        ,  99.64217146]), array([98.49857626, 91.49857626]), array([93, 91]), array([88, 89]), array([89.731243, 90.731243]), array([90.15247775, 89.65247775]), array([90, 90])]",193.8397330050217,GSIS
14,15,44.19179844856262,249,"[array([10, 10]), array([10.32118461, 10.32118461]), array([10. , 11.5]), array([10, 12]), array([13., 12.]), array([13, 13]), array([25.85817874, 13.85817874]), array([40, 13]), array([48, 13]), array([78.25723108, 40.25723108]), array([100.        ,  59.45841274]), array([100. ,  90.5]), array([100.,  90.]), array([98.5, 93. ]), array([93, 93]), array([91.98762931, 90.48762931]), array([91, 90]), array([90., 90.]), array([90, 90])]",156.16806867422295,GSIS
15,16,36.19815373420715,249,"[array([10, 10]), array([12.34198896, 10.84198896]), array([12.70277234, 10.70277234]), array([12, 13]), array([11, 44]), array([17.6861866, 49.1861866]), array([100,  49]), array([100,  79]), array([100,  92]), array([97, 92]), array([89, 92]), array([89, 89]), array([90, 89]), array([89.95750942, 90.45750942]), array([90, 90])]",186.86650850837307,GSIS
16,17,39.2581090927124,249,"[array([10, 10]), array([ 10., 100.]), array([ 12, 100]), array([12, 99]), array([ 13.5, 100. ]), array([ 21, 100]), array([ 22, 100]), array([22, 99]), array([ 52., 100.]), array([64. , 95.5]), array([84.40798389, 95.90798389]), array([83.98345432, 94.98345432]), array([91.90541834, 90.90541834]), array([91.90541834, 90.        ]), array([91, 90]), array([90, 90]), array([90, 90])]",180.28566964388637,GSIS
17,18,37.48783826828003,249,"[array([10, 10]), array([10.61392251, 10.61392251]), array([13, 10]), array([100,  10]), array([99, 10]), array([100.,  16.]), array([98.28565796, 18.78565796]), array([98, 19]), array([97.65111711, 60.65111711]), array([98.69890704, 69.19890704]), array([90.99804589, 91.99804589]), array([90.3159276, 89.8159276]), array([90, 90]), array([90., 90.])]",178.0236288311989,GSIS
18,19,31.22655177116394,249,"[array([10, 10]), array([11, 10]), array([11, 12]), array([ 11, 100]), array([ 92, 100]), array([92, 98]), array([93, 96]), array([88, 96]), array([91.37853506, 87.37853506]), array([89.5, 91.5]), array([90.5, 89.5]), array([90., 90.])]",197.96844609573557,GSIS
19,20,42.59065318107605,249,"[array([10, 10]), array([11, 10]), array([12.35452873, 12.85452873]), array([13.15442286, 13.15442286]), array([14, 13]), array([14, 14]), array([18.40733436, 13.90733436]), array([100,  13]), array([100. ,  14.5]), array([100. ,  21.5]), array([100.        ,  25.29769567]), array([100,  85]), array([99.57563271, 84.57563271]), array([91.        , 84.57563271]), array([91, 93]), array([90.        , 92.93183875]), array([90, 89]), array([90. , 90.5]), array([89.84728285, 89.84728285]), array([89.86558871, 89.86558871]), array([90, 90])]",189.8000711856634,GSIS
20,21,43.89537024497986,249,"[array([10, 10]), array([10., 13.]), array([10, 16]), array([10.94119543, 15.44119543]), array([13.58232811, 20.08232811]), array([13.58698589, 20.58698589]), array([13. , 24.5]), array([13, 25]), array([13, 50]), array([88.32061683, 81.82061683]), array([88, 90]), array([88.76667662, 90.76667662]), array([91, 90]), array([90, 90])]",136.79364794981478,GSIS
21,22,33.81320905685425,249,"[array([10, 10]), array([10. , 11.5]), array([13, 11]), array([16.24964222, 14.24964222]), array([52, 14]), array([52, 15]), array([100., 100.]), array([ 91, 100]), array([86.60535425, 94.10535425]), array([89.79385935, 90.29385935]), array([90, 90]), array([90.30927867, 90.30927867]), array([90.21505936, 90.21505936]), array([90, 90])]",165.18569462474753,GSIS
22,23,61.90898776054382,249,"[array([10, 10]), array([10, 12]), array([10. , 13.5]), array([ 9.07118486, 17.        ]), array([10.61666545, 17.11666545]), array([10.0480501, 18.5480501]), array([12.73559434, 19.23559434]), array([13.5, 19. ]), array([13, 20]), array([16.12513982, 21.62513982]), array([28., 15.]), array([26., 17.]), array([30.5, 15.5]), array([33, 15]), array([48., 36.]), array([48, 76]), array([ 57.35419668, 100.        ]), array([ 78, 100]), array([ 83.0343452, 100.       ]), array([90.95683338, 98.95683338]), array([89.88453933, 97.88453933]), array([89, 97]), array([89, 94]), array([90, 94]), array([89.        , 91.85510684]), array([89, 90]), array([90, 90])]",179.3705414312438,GSIS
